incident_id,incident_category,optimal_time_mins
168,healthcare,1.8338723401399828
169,healthcare,9.398634209340782
170,healthcare,2.4848116046442588
171,fire_disaster,8.352959273761977
172,fire_disaster,9.298757191893937
173,fire_disaster,19.742812071789906
174,security,3.243195859944213
175,security,9.147016299024914
176,security,2.2232529170336695
177,transport,16.95556977526616
178,transport,7.753541876422282
179,transport,7.230150768967026
180,healthcare,101.49267054327295
181,healthcare,92.19802248204857
182,healthcare,38.556457769375385
183,fire_disaster,58.28419340405659
184,fire_disaster,65.25265856305337
185,fire_disaster,109.88066839184441
186,security,101.87290522771633
187,security,123.87544193292706
188,security,114.11076973543916
189,transport,0.0
190,transport,80.28578391301342
191,transport,57.64866432949574
192,healthcare,33.91143926268913
193,healthcare,34.003405172113915
194,healthcare,34.29039330603891
195,fire_disaster,56.41580687283246
196,fire_disaster,66.05223681781544
197,fire_disaster,50.929682457138576
198,security,19.08148091957326
199,security,16.749234959083093
200,security,36.847104208824
201,transport,46.57177958799187
202,transport,40.884371987023584
203,transport,40.884371987023584
204,healthcare,32.60047852078157
205,healthcare,16.77207203294717
206,healthcare,32.60047852078157
207,fire_disaster,47.93474967506162
208,fire_disaster,43.10959443303126
209,fire_disaster,47.93474967506162
210,security,31.58339359421922
211,security,32.00481534982671
212,security,27.08889684146068
213,transport,28.90272442464754
214,transport,40.884371987023584
215,transport,23.535214648141235
216,healthcare,69.20786068582552
217,healthcare,68.52791433067163
218,healthcare,72.67229638222602
219,fire_disaster,48.57423479716826
220,fire_disaster,78.45624900001003
221,fire_disaster,78.07331476049858
222,security,62.50849437572036
223,security,60.49621960033801
224,security,67.85580077317032
225,transport,85.29207385383629
226,transport,45.793104888778046
227,transport,71.3452776294376
228,healthcare,28.606800819434852
229,healthcare,33.90255073035217
230,healthcare,28.606800819434852
231,fire_disaster,112.6632901437581
232,fire_disaster,132.5058701436531
233,fire_disaster,114.5925163889274
234,security,40.94254982584849
235,security,43.514587087166646
236,security,32.98558215659601
237,transport,26.279186109581072
238,transport,15.408474217303116
239,transport,22.317579792315225
240,healthcare,6.073770376391829
241,healthcare,11.28674587287812
242,healthcare,8.00462477376322
243,fire_disaster,27.16183900115507
244,fire_disaster,73.95161025508666
245,fire_disaster,73.95161025508666
246,security,41.6068898663982
247,security,17.442426667448697
248,security,24.96154450897204
249,transport,44.761158492545796
250,transport,54.737491894593525
251,transport,13.386799844350415
252,healthcare,13.146112859711362
253,healthcare,4.108327198411238
254,healthcare,16.313354089216094
255,fire_disaster,15.033949087185214
256,fire_disaster,10.073689637163568
257,fire_disaster,9.380950137792349
258,security,27.81594652571375
259,security,8.935244501974411
260,security,6.140865022144661
261,transport,2.5772184067044637
262,transport,30.32916466565444
263,transport,4.704883411327026
264,healthcare,19.56435566905841
265,healthcare,22.244036450722692
266,healthcare,13.60506606055376
267,fire_disaster,55.546652546197244
268,fire_disaster,61.58776083817197
269,fire_disaster,50.14371206270187
270,security,14.309818310473426
271,security,6.483862211494886
272,security,8.741106967883123
273,transport,39.14805960828381
274,transport,42.54378322603529
275,transport,37.87236837746793
276,fire_disaster,17.11456269204937
277,fire_disaster,12.136267937719323
278,security,1.1180495229286345
279,security,2.675585746270715
280,healthcare,3.007635671716717
281,security,3.866856402447665
282,fire_disaster,10.231494508335679
283,fire_disaster,5.17102334339685
284,fire_disaster,7.5089305474014845
285,security,9.085596405838817
286,fire_disaster,9.614847524429345
287,healthcare,5.827144282609271
288,security,5.706770234346476
289,healthcare,6.326347653003077
290,transport,5.873674796579228
291,healthcare,7.855352198001054
292,transport,8.040209575042368
293,security,9.417557394543696
294,healthcare,7.256902834719262
295,fire_disaster,7.813884802511208
296,healthcare,3.6440538161513776
297,security,0.3467902706455781
298,security,14.402400147302508
299,healthcare,3.2072797791585885
300,fire_disaster,7.194644181629644
301,transport,5.158415174782443
302,security,8.737470970323773
303,security,7.286645456128899
304,healthcare,0.8924435677256002
305,healthcare,5.824812169148624
306,healthcare,1.4859406425613129
307,transport,1.7319767386692313
308,healthcare,7.98552100502216
309,healthcare,6.591563446222103
310,security,3.717014891805725
311,transport,9.093022117920661
312,healthcare,7.623829471825745
313,healthcare,13.440654745302899
314,security,4.463373486862046
315,transport,1.0993551400847774
316,healthcare,3.294938293382924
317,healthcare,6.525745004584433
318,healthcare,2.334054804997632
319,security,1.4504262437267195
320,healthcare,2.9473774217750774
321,fire_disaster,12.409902564924554
322,security,2.0210635751477155
323,transport,5.695358357745088
324,healthcare,2.6183562302885215
325,fire_disaster,3.02059120200129
326,security,3.3623050697024137
327,fire_disaster,2.8245598505185274
328,fire_disaster,3.240911995082741
329,healthcare,7.826176749889096
330,transport,4.43186059483537
331,security,10.205284137531159
332,security,10.297538626611477
333,fire_disaster,12.355022488500197
334,fire_disaster,2.71263972844181
335,fire_disaster,13.37814516264192
336,security,6.293842564246169
337,fire_disaster,12.032748473633358
338,transport,14.740999032596104
339,security,5.119363417240305
340,healthcare,4.1952248305943485
341,transport,7.421884133021008
342,fire_disaster,7.063267536035913
343,healthcare,7.152693686260414
344,security,2.123379573303284
345,security,9.417557394543696
346,healthcare,7.451265596968043
347,security,8.702151098199524
348,healthcare,4.719257322430535
349,fire_disaster,20.033355103071962
350,transport,4.367068139516475
351,transport,3.1997793829890813
352,healthcare,3.1761327817251783
353,fire_disaster,3.3227936664189284
354,security,10.082277018663643
355,transport,3.7199100317522302
356,security,5.8145494484283
357,security,6.673892784370943
358,fire_disaster,9.726900533939604
359,transport,6.70508120131264
360,transport,8.164828604800274
361,healthcare,1.1669806280588602
362,healthcare,1.8301345117178702
363,transport,4.8881693718236825
364,security,7.254692365225302
365,security,12.35625967640412
366,security,8.43272271936103
367,healthcare,1.5812345477398897
368,security,3.2449092571718356
369,fire_disaster,5.270081860032807
370,transport,8.810597789880688
371,security,8.271718800537615
372,healthcare,2.605122834212471
373,fire_disaster,4.225570781129415
374,transport,4.529801531057274
375,fire_disaster,2.9664524878249554
376,fire_disaster,14.458208033376314
377,security,7.648683476329339
378,transport,2.925059976556487
379,security,2.4170335320571907
380,security,16.12761066357368
381,security,3.101280060186841
382,security,5.6772239642632245
383,security,4.277725806442934
384,healthcare,2.8049878725725037
385,healthcare,4.491941955808376
386,security,25.34539373728332
387,transport,1.713095656487718
388,security,6.422521759676306
389,transport,8.426840077194926
390,healthcare,1.9617042116619363
391,healthcare,3.5816161865644083
392,fire_disaster,1.140960136665945
393,fire_disaster,15.872539026690735
394,security,10.828930605623704
395,security,9.762650598613918
396,healthcare,3.12510940522188
397,security,6.3988406161839375
398,security,5.104242737404808
399,fire_disaster,9.584114078498308
400,transport,8.205431410831189
401,healthcare,3.350175924969075
402,security,3.1407720681183235
403,healthcare,5.013557297777617
404,healthcare,2.9697974794938755
405,healthcare,1.22575978234737
406,security,7.810122329750186
407,healthcare,6.770492942444557
408,security,3.4688210269735302
409,security,8.721511821275636
410,security,0.2890127525982304
411,fire_disaster,20.53987851362839
412,healthcare,4.657206960182839
413,healthcare,4.948921066988674
414,security,4.6902634017052565
415,healthcare,2.723389366107933
416,fire_disaster,5.044643245715739
417,healthcare,3.7908192886323784
418,transport,16.888119532404744
419,security,7.03836181735527
420,security,3.0378287592984523
421,healthcare,3.0311303029028718
422,security,5.982391679907989
423,healthcare,0.2894840473746374
424,security,4.076062863533005
425,security,2.126606678608044
426,transport,6.238726680728777
427,security,4.366826891355143
428,healthcare,3.629779397905511
429,healthcare,3.4283163079937946
430,healthcare,5.610257040999262
431,security,6.843199186284371
432,transport,6.1434047717109115
433,transport,8.154032256287723
434,healthcare,2.302005149705025
435,healthcare,4.858692002517526
436,security,2.7520338024696476
437,healthcare,9.936468749376722
438,fire_disaster,3.772794415807693
439,security,7.0077456561175175
440,healthcare,4.984927695707959
441,fire_disaster,1.5049795602765905
442,healthcare,1.2958165938682948
